filename,notes,authors,licenses,url1,url2,url3,url4,url5,status
facial/male/beard/light-blonde.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/light-blonde2.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/pink.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/pink2.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/purple.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/raven.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/raven2.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/redhead.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/redhead2.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/ruby-red.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/white-blonde.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/white-blonde2.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
facial/male/beard/white-cyan.png,,"JaidynReiman, Nemisys","CC-BY-SA 3.0, GPL 3.0",https://opengameart.org/content/lpc-brunet-mustache,,,,,OK
